[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
780.933	47.593	69.545	179.454	186.576
780.871	91.280	69.806	179.999	187.067
780.809	107.872	70.064	180.541	187.558
780.747	52.535	70.314	181.080	188.049
780.684	45.567	70.554	181.616	188.540
780.622	105.623	70.777	182.149	189.031
780.560	143.443	70.980	182.679	189.521
780.498	70.234	71.158	183.206	190.012
780.436	-43.750	71.306	183.731	190.503
780.374	-37.267	71.420	184.254	190.994
780.312	-7.164	71.494	184.774	191.484
780.250	-8.706	71.526	185.293	191.976
780.188	16.076	71.509	185.810	192.466
780.126	51.175	71.441	186.326	192.957
780.064	69.066	71.317	186.841	193.448
780.002	62.860	71.134	187.354	193.939
779.940	29.802	70.889	187.866	194.429
779.877	9.512	70.578	188.377	194.920
779.815	79.102	70.199	188.887	195.411
779.753	101.857	69.750	189.397	195.902
779.691	5.007	69.230	189.906	196.393
779.629	-4.239	68.636	190.415	196.884
779.567	39.668	67.968	190.924	197.374
779.505	33.216	67.226	191.432	197.865
779.443	37.025	66.410	191.941	198.356
779.381	27.063	65.520	192.450	198.847
779.319	-32.462	64.558	192.959	199.337
779.257	-41.411	63.526	193.470	199.829
779.195	22.219	62.427	193.981	200.319
779.132	94.418	61.265	194.495	200.810
779.070	80.179	60.043	195.010	201.301
779.008	32.567	58.767	195.529	201.792
778.946	64.831	57.445	196.053	202.282
778.884	62.193	56.087	196.582	202.773
778.822	20.673	54.704	197.121	203.264
778.760	43.903	53.316	197.673	203.755
778.698	54.277	51.952	198.246	204.246
778.636	42.309	50.660	198.853	204.737
778.574	86.723	49.534	199.516	205.227
778.512	102.281	48.755	200.272	205.718
778.450	57.467	48.656	201.150	206.209
778.387	34.317	49.583	202.084	206.700
778.325	57.009	51.489	202.937	207.190
778.263	83.698	53.998	203.670	207.682
778.201	38.334	56.801	204.318	208.172
778.139	-0.273	59.727	204.915	208.663
778.077	23.300	62.684	205.480	209.154
778.015	44.057	65.615	206.027	209.645
777.953	30.875	68.482	206.560	210.135
777.891	-1.965	71.255	207.085	210.626
777.829	-2.108	73.911	207.603	211.117
777.767	31.512	76.429	208.116	211.608
777.705	61.638	78.793	208.626	212.099
777.643	38.570	80.986	209.133	212.589
777.580	7.052	82.997	209.639	213.080
777.518	21.609	84.814	210.142	213.571
777.456	54.524	86.427	210.644	214.062
777.394	53.999	87.830	211.145	214.553
777.332	11.902	89.015	211.644	215.043
777.270	25.406	89.980	212.143	215.534
777.208	107.038	90.721	212.642	216.025
777.146	183.392	91.239	213.140	216.516
777.084	137.004	91.534	213.637	217.007
777.022	56.362	91.608	214.134	217.497
776.960	75.945	91.467	214.631	217.988
776.898	91.087	91.116	215.128	218.479
776.835	58.029	90.561	215.625	218.970
776.773	9.381	89.813	216.122	219.460
776.711	-10.688	88.880	216.619	219.952
776.649	7.085	87.773	217.117	220.442
776.587	38.893	86.506	217.614	220.933
776.525	49.679	85.090	218.113	221.424
776.463	57.282	83.539	218.612	221.915
776.401	94.843	81.870	219.112	222.406
776.339	107.984	80.096	219.613	222.896
776.277	103.015	78.234	220.116	223.387
776.215	118.265	76.300	220.621	223.878
776.153	83.375	74.311	221.129	224.369
776.091	14.522	72.285	221.640	224.860
776.028	3.214	70.240	222.156	225.350
775.966	59.258	68.196	222.678	225.841
775.904	95.802	66.174	223.210	226.332
775.842	24.265	64.198	223.754	226.823
775.780	6.200	62.298	224.317	227.313
775.718	62.108	60.517	224.908	227.805
775.656	61.395	58.917	225.543	228.295
775.594	21.182	57.600	226.243	228.786
775.532	-1.884	56.721	227.026	229.277
775.470	23.897	56.448	227.867	229.768
775.408	27.343	56.809	228.691	230.259
775.346	30.573	57.638	229.437	230.749
775.283	112.101	58.730	230.105	231.240
775.221	106.305	59.938	230.717	231.731
775.159	31.082	61.178	231.291	232.222
775.097	72.420	62.400	231.841	232.713
775.035	78.407	63.574	232.374	233.203
774.973	28.923	64.679	232.896	233.694
774.911	65.715	65.703	233.408	234.185
774.849	58.763	66.636	233.915	234.676
774.787	0.441	67.470	234.416	235.166
774.725	33.350	68.202	234.913	235.658
774.663	80.121	68.828	235.406	236.148
774.601	58.390	69.347	235.897	236.639
774.539	-25.812	69.758	236.386	237.130
774.476	-42.695	70.063	236.872	237.621
774.414	12.028	70.262	237.356	238.112
774.352	24.099	70.360	237.838	238.602
774.290	58.123	70.360	238.318	239.093
774.228	122.745	70.266	238.797	239.584
774.166	138.091	70.085	239.273	240.075
774.104	96.168	69.824	239.748	240.566
774.042	41.073	69.488	240.220	241.056
773.980	29.755	69.086	240.691	241.547
773.918	41.372	68.626	241.159	242.038
773.856	49.320	68.118	241.623	242.529
773.794	50.208	67.571	242.085	243.019
773.731	74.732	66.994	242.543	243.510
773.669	104.813	66.400	242.996	244.001
773.607	90.808	65.799	243.442	244.492
773.545	66.934	65.204	243.882	244.983
773.483	52.922	64.630	244.311	245.473
773.421	42.615	64.092	244.728	245.965
773.359	50.444	63.611	245.128	246.455
773.297	68.415	63.210	245.506	246.946
773.235	72.878	62.923	245.855	247.436
773.173	70.178	62.790	246.168	247.928
773.111	72.383	62.862	246.446	248.418
773.049	81.915	63.184	246.697	248.909
772.987	75.362	63.779	246.945	249.400
772.924	73.425	64.630	247.214	249.891
772.862	100.216	65.690	247.520	250.382
772.800	75.953	66.910	247.863	250.872
772.738	20.301	68.244	248.238	251.363
772.676	17.040	69.659	248.638	251.854
772.614	66.605	71.132	249.058	252.345
772.552	105.854	72.643	249.493	252.836
772.490	82.669	74.180	249.939	253.326
772.428	61.728	75.730	250.395	253.818
772.366	59.168	77.282	250.859	254.308
772.304	59.720	78.828	251.329	254.799
772.242	79.408	80.358	251.804	255.289
772.179	91.453	81.864	252.284	255.781
772.117	67.967	83.338	252.768	256.271
772.055	43.329	84.771	253.256	256.762
771.993	24.340	86.156	253.748	257.253
771.931	4.411	87.484	254.242	257.744
771.869	-4.958	88.749	254.740	258.235
771.807	29.953	89.943	255.240	258.725
771.745	99.487	91.058	255.742	259.216
771.683	107.951	92.088	256.247	259.707
771.621	85.969	93.027	256.754	260.198
771.559	77.473	93.867	257.263	260.689
771.497	46.305	94.603	257.774	261.179
771.435	20.189	95.230	258.286	261.670
771.372	47.089	95.742	258.799	262.161
771.310	135.296	96.134	259.314	262.652
771.248	155.518	96.402	259.829	263.142
771.186	73.562	96.541	260.345	263.634
771.124	41.011	96.549	260.861	264.124
771.062	100.494	96.421	261.376	264.615
771.000	166.122	96.154	261.892	265.106
770.938	101.293	95.748	262.408	265.597
770.876	40.334	95.200	262.922	266.088
770.814	56.945	94.509	263.436	266.578
770.752	76.091	93.677	263.949	267.069
770.690	80.893	92.703	264.460	267.560
770.627	86.589	91.591	264.970	268.051
770.565	104.411	90.343	265.478	268.542
770.503	82.994	88.964	265.985	269.032
770.441	31.657	87.460	266.489	269.523
770.379	9.208	85.837	266.992	270.014
770.317	20.910	84.105	267.491	270.505
770.255	40.609	82.273	267.989	270.995
770.193	49.528	80.352	268.483	271.487
