[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
395.538	758.461	0.000	-92.238
395.476	758.580	0.000	-91.472
395.414	758.699	0.000	-90.704
395.352	758.818	0.000	-89.938
395.290	758.937	0.000	-89.170
395.227	759.057	0.000	-88.402
395.165	759.176	0.000	-87.634
395.103	759.295	0.000	-86.865
395.041	759.414	0.000	-86.097
394.979	759.534	0.000	-85.328
394.917	759.653	0.000	-84.560
394.855	759.773	0.000	-83.790
394.793	759.892	0.000	-83.022
394.731	760.012	0.000	-82.253
394.669	760.131	0.000	-81.484
394.607	760.251	0.000	-80.715
394.545	760.370	0.000	-79.946
394.483	760.490	0.000	-79.176
394.420	760.610	0.000	-78.405
394.358	760.729	0.000	-77.633
394.296	760.849	0.000	-76.860
394.234	760.969	0.000	-76.084
394.172	761.089	0.000	-75.303
394.110	761.209	0.000	-74.509
394.048	761.329	0.000	-73.673
393.986	761.449	0.000	-72.769
393.924	761.569	0.000	-71.826
393.862	761.689	0.000	-70.870
393.800	761.809	0.000	-69.908
393.738	761.929	0.000	-68.940
393.675	762.049	0.000	-67.968
393.613	762.169	0.000	-66.990
393.551	762.289	0.000	-66.006
393.489	762.410	0.000	-65.015
393.427	762.530	0.000	-64.015
393.365	762.650	0.000	-63.008
393.303	762.771	0.000	-61.990
393.241	762.891	0.000	-60.965
393.179	763.012	0.000	-59.932
393.117	763.132	0.000	-58.893
393.055	763.253	0.000	-57.849
392.993	763.373	0.000	-56.802
392.931	763.494	0.000	-55.751
392.868	763.615	0.000	-54.698
392.806	763.735	0.000	-53.647
392.744	763.856	0.000	-52.592
392.682	763.977	0.000	-51.539
392.620	764.097	0.000	-50.488
392.558	764.218	0.000	-49.438
392.496	764.339	0.000	-48.390
392.434	764.460	0.000	-47.344
392.372	764.581	0.000	-46.303
392.310	764.702	0.000	-45.264
392.248	764.823	0.000	-44.230
392.186	764.944	0.000	-43.203
392.123	765.065	0.000	-42.180
392.061	765.186	0.000	-41.165
391.999	765.308	0.000	-40.157
391.937	765.429	0.000	-39.159
391.875	765.550	0.000	-38.171
391.813	765.671	0.000	-37.197
391.751	765.793	0.000	-36.237
391.689	765.914	0.000	-35.294
391.627	766.035	0.000	-34.374
391.565	766.157	0.000	-33.475
391.503	766.278	0.000	-32.603
391.441	766.400	0.000	-31.756
391.379	766.521	0.000	-30.935
391.316	766.643	0.000	-30.134
391.254	766.765	0.000	-29.350
391.192	766.886	0.000	-28.581
391.130	767.008	0.000	-27.823
391.068	767.130	0.000	-27.075
391.006	767.252	0.000	-26.336
390.944	767.373	0.000	-25.604
390.882	767.495	0.000	-24.879
390.820	767.617	0.000	-24.161
390.758	767.739	0.000	-23.447
390.696	767.861	0.000	-22.740
390.634	767.983	0.000	-22.037
390.571	768.105	0.000	-21.340
390.509	768.227	0.000	-20.646
