[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
406.836	258.819	282.362	176.564	174.499
406.774	264.546	282.044	177.106	174.988
406.712	265.608	281.710	177.647	175.478
406.650	248.222	281.359	178.188	175.967
406.588	307.602	280.990	178.727	176.456
406.526	209.760	280.605	179.264	176.945
406.464	265.288	280.201	179.801	177.435
406.402	256.755	279.781	180.336	177.924
406.340	218.070	279.342	180.870	178.413
406.278	312.144	278.885	181.403	178.902
406.216	230.587	278.409	181.935	179.392
406.154	273.985	277.915	182.465	179.881
406.091	262.375	277.402	182.993	180.370
406.029	259.447	276.870	183.521	180.859
405.967	204.466	276.318	184.047	181.349
405.905	211.053	275.747	184.572	181.838
405.843	231.044	275.157	185.095	182.327
405.781	228.534	274.548	185.617	182.816
405.719	213.796	273.920	186.138	183.306
405.657	232.435	273.274	186.657	183.795
405.595	254.965	272.609	187.175	184.284
405.533	151.980	271.928	187.691	184.773
405.471	336.703	271.230	188.206	185.263
405.409	353.610	270.516	188.720	185.752
405.347	389.593	269.787	189.232	186.241
405.284	250.372	269.045	189.742	186.730
405.222	135.332	268.290	190.251	187.220
405.160	283.532	267.525	190.758	187.709
405.098	256.420	266.750	191.264	188.198
405.036	280.859	265.969	191.767	188.687
404.974	203.439	265.181	192.268	189.177
404.912	276.018	264.391	192.766	189.666
404.850	281.391	263.600	193.262	190.155
404.788	172.543	262.812	193.754	190.644
404.726	273.814	262.030	194.243	191.134
404.664	250.934	261.257	194.727	191.623
404.602	274.802	260.500	195.205	192.112
404.539	209.282	259.764	195.675	192.601
404.477	330.319	259.058	196.137	193.091
404.415	224.146	258.393	196.586	193.580
404.353	171.983	257.784	197.019	194.069
404.291	198.364	257.256	197.430	194.559
404.229	238.953	256.841	197.813	195.048
404.167	250.953	256.591	198.158	195.537
404.105	373.472	256.575	198.460	196.026
404.043	229.925	256.869	198.725	196.516
403.981	206.906	257.528	198.977	197.005
403.919	253.015	258.548	199.245	197.494
403.857	244.915	259.867	199.552	197.983
403.795	268.266	261.404	199.900	198.473
403.732	284.807	263.086	200.284	198.962
403.670	218.044	264.859	200.696	199.451
403.608	237.426	266.683	201.128	199.940
403.546	291.514	268.529	201.576	200.430
403.484	249.947	270.374	202.034	200.919
403.422	165.550	272.200	202.502	201.408
403.360	366.664	273.992	202.975	201.897
403.298	212.561	275.737	203.454	202.387
403.236	208.215	277.424	203.938	202.876
403.174	240.650	279.041	204.424	203.365
403.112	205.903	280.581	204.913	203.854
403.050	199.988	282.034	205.405	204.344
402.987	245.089	283.393	205.898	204.833
402.925	231.904	284.653	206.394	205.322
402.863	304.743	285.806	206.891	205.811
402.801	305.534	286.849	207.389	206.301
402.739	335.183	287.777	207.889	206.790
402.677	361.838	288.587	208.391	207.279
402.615	237.677	289.279	208.893	207.768
402.553	361.516	289.849	209.397	208.258
402.491	225.996	290.299	209.902	208.747
402.429	182.808	290.628	210.408	209.236
402.367	250.233	290.840	210.916	209.725
402.305	350.296	290.936	211.425	210.215
402.242	375.146	290.920	211.935	210.704
402.180	247.547	290.796	212.448	211.193
402.118	381.965	290.571	212.962	211.682
402.056	314.731	290.251	213.478	212.172
401.994	235.926	289.844	213.996	212.661
401.932	245.159	289.357	214.516	213.150
401.870	215.402	288.801	215.039	213.639
401.808	203.988	288.185	215.565	214.129
401.746	200.868	287.520	216.094	214.618
401.684	310.872	286.819	216.626	215.107
401.622	239.449	286.094	217.163	215.596
401.560	193.721	285.358	217.704	216.086
401.498	332.344	284.626	218.249	216.575
